5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e3316 --->  0
e925 --->  0
e938 --->  0
e345 --->  0
e215 --->  0
e1829 --->  0
e1024 --->  0
e1334 --->  0
e1827 --->  0
e176 --->  0
e1243 --->  0
e1820 --->  0
e1911 --->  0
e1029 --->  0
e1047 --->  0
e2345 --->  0
e3014 --->  0
e1314 --->  0
e3023 --->  0
e3240 --->  0
e2945 --->  0
e453 --->  0
e3414 --->  0
e4022 --->  0
e4132 --->  0
e1226 --->  0
e718 --->  0
e3641 --->  0
e3614 --->  0
e2533 --->  0
e4021 --->  0
e488 --->  0
e2832 --->  0
e97 --->  0
e4423 --->  0
e4925 --->  0
